domain,project,BEASS2_ID
modeling,mdt.rmf,382390
modeling,mdt.rmf,378041
modeling,mdt.rmf,374203
modeling,mdt.rmf,367292
modeling,mdt.rmf,367293
modeling,mdt.rmf,374206
modeling,mdt.rmf,367295
modeling,mdt.rmf,367296
modeling,mdt.rmf,367294
modeling,mdt.rmf,375231
modeling,mdt.rmf,367300
modeling,mdt.rmf,374213
modeling,mdt.rmf,374598
modeling,mdt.rmf,375238
modeling,mdt.rmf,374216
modeling,mdt.rmf,383561
modeling,mdt.rmf,375239
modeling,mdt.rmf,387019
modeling,mdt.rmf,375244
modeling,mdt.rmf,375245
modeling,mdt.rmf,464200
modeling,mdt.rmf,375247
modeling,mdt.rmf,374225
modeling,mdt.rmf,397001
modeling,mdt.rmf,366036
modeling,mdt.rmf,413767
modeling,mdt.rmf,364887
modeling,mdt.rmf,414552
modeling,mdt.rmf,421310
modeling,mdt.rmf,374364
modeling,mdt.rmf,366941
modeling,mdt.rmf,397661
modeling,mdt.rmf,386012
modeling,mdt.rmf,356320
technology,dltk,191459
technology,dltk,190443
technology,dltk,253420
technology,dltk,228846
technology,dltk,196590
technology,dltk,208880
technology,dltk,196593
technology,dltk,196594
technology,dltk,196592
technology,dltk,200180
technology,dltk,221174
technology,dltk,194552
technology,dltk,228858
technology,dltk,228859
technology,dltk,197115
technology,dltk,300029
technology,dltk,197119
technology,dltk,253444
technology,dltk,204807
technology,dltk,195594
technology,dltk,199691
technology,dltk,465931
technology,dltk,204814
technology,dltk,204816
technology,dltk,180753
technology,dltk,211988
technology,dltk,278037
technology,dltk,244763
technology,dltk,253469
technology,dltk,205855
technology,dltk,334881
technology,dltk,186916
technology,dltk,223781
technology,dltk,294954
technology,dltk,181803
technology,dltk,198190
technology,dltk,198191
technology,dltk,177712
technology,dltk,224304
technology,dltk,182325
technology,dltk,209462
technology,dltk,212536
technology,dltk,228409
technology,dltk,218169
technology,dltk,253493
technology,dltk,254010
technology,dltk,213568
technology,dltk,205889
technology,dltk,201283
technology,dltk,215622
technology,dltk,226888
technology,dltk,265803
technology,dltk,207948
technology,dltk,205901
technology,dltk,177742
technology,dltk,207951
technology,dltk,206415
technology,dltk,186961
technology,dltk,232018
technology,dltk,222291
technology,dltk,207957
technology,dltk,222294
technology,dltk,212054
technology,dltk,200789
technology,dltk,226393
technology,dltk,330316
technology,dltk,253517
technology,dltk,197216
technology,dltk,231522
technology,dltk,181347
technology,dltk,204388
technology,dltk,227940
technology,dltk,207973
technology,dltk,253543
technology,dltk,276069
technology,dltk,318564
technology,dltk,254038
technology,dltk,207981
technology,dltk,211567
technology,dltk,207983
technology,dltk,254065
technology,dltk,219252
technology,dltk,177270
technology,dltk,197240
technology,dltk,211576
technology,dltk,225406
