domain,project,value,os,priority,hardware,version,component,severity,assignee,product,status,total
modeling,emf.egf,min,0,0,0,0,0,0,0,0,0,191
modeling,emf.egf,max,0,0,0,276,0,0,0,0,0,191
rt,ercp,avg,254,262,92,111,79,37,0,0,0,595
rt,ercp,min,0,0,0,0,0,0,0,0,0,595
rt,ercp,max,1079,906,183,183,292,347,0,0,0,595
modeling,amalgam,avg,0,0,0,0,0,2,0,0,0,124
modeling,amalgam,min,0,0,0,0,0,0,0,0,0,124
modeling,amalgam,max,0,0,0,0,0,3,0,0,0,124
iot,tinydtls,avg,0,12,0,0,0,0,0,0,0,7
iot,tinydtls,min,0,12,0,0,0,0,0,0,0,7
iot,tinydtls,max,0,12,0,0,0,0,0,0,0,7
tools,ajdt,avg,273,642,0,97,45,184,0,38,0,1465
tools,ajdt,min,0,0,0,0,0,0,0,0,0,1465
tools,ajdt,max,524,2405,0,777,148,1069,0,148,0,1465
technology,ogee,avg,0,0,0,15,0,179,0,0,0,33
technology,ogee,min,0,0,0,0,0,0,0,0,0,33
technology,ogee,max,0,0,0,56,0,358,0,0,0,33
tools,buildship,avg,209,0,209,44,0,176,0,0,0,390
tools,buildship,min,0,0,0,0,0,0,0,0,0,390
tools,buildship,max,490,0,490,100,0,490,0,0,0,390
modeling,ecoretools,avg,0,119,0,43,6,173,0,6,0,293
modeling,ecoretools,min,0,0,0,0,0,0,0,0,0,293
modeling,ecoretools,max,0,728,0,240,12,1472,0,12,0,293
iot,kura,avg,0,0,0,0,0,22,0,0,0,46
iot,kura,min,0,0,0,0,0,0,0,0,0,46
iot,kura,max,0,0,0,0,0,43,0,0,0,46
modeling,mmt.atl,avg,16,0,0,161,20,234,0,0,0,271
modeling,mmt.atl,min,16,0,0,161,20,0,0,0,0,271
modeling,mmt.atl,max,16,0,0,161,20,729,0,0,0,271
webtools,jsdt,avg,56,108,58,417,402,211,0,433,0,2439
webtools,jsdt,min,0,0,0,0,0,0,0,0,0,2439
webtools,jsdt,max,253,444,253,1239,1224,1557,0,1224,0,2439
modeling,sirius,avg,116,111,113,12,17,191,0,33,0,1595
modeling,sirius,min,0,0,0,0,0,0,0,1,0,1595
modeling,sirius,max,737,405,737,64,64,917,0,64,0,1595
technology,epp,avg,214,75,185,126,141,208,0,116,0,1558
technology,epp,min,0,0,0,0,0,0,0,0,0,1558
technology,epp,max,1526,901,1485,686,1485,1431,0,968,0,1558
technology,hudson,avg,466,20,189,80,291,119,0,1084,0,1423
technology,hudson,min,0,0,0,0,0,0,0,0,0,1423
technology,hudson,max,1013,60,742,295,1626,793,0,1626,0,1423
science,chemclipse,avg,0,0,17,0,0,0,0,0,0,22
science,chemclipse,min,0,0,17,0,0,0,0,0,0,22
science,chemclipse,max,0,0,17,0,0,0,0,0,0,22
modeling,ecp,avg,1,292,1,12,0,66,0,0,0,1615
modeling,ecp,min,0,0,0,0,0,0,0,0,0,1615
modeling,ecp,max,1,1682,1,38,0,310,0,0,0,1615
iot,4diac,avg,0,0,0,151,29,1,0,0,0,302
iot,4diac,min,0,0,0,0,1,0,0,0,0,302
iot,4diac,max,0,0,0,419,64,2,0,0,0,302
tools,xtend,avg,49,126,50,150,152,146,0,106,0,2297
tools,xtend,min,0,7,0,0,0,0,0,0,0,2297
tools,xtend,max,180,240,180,1407,594,889,0,308,0,2297
technology,recommenders,avg,190,256,234,144,344,190,0,158,0,1206
technology,recommenders,min,0,0,0,0,0,0,0,37,0,1206
technology,recommenders,max,776,617,776,776,776,1101,0,278,0,1206
technology,stem,avg,11,11,10,0,69,2,0,0,0,437
technology,stem,min,0,0,0,0,0,0,0,0,0,437
technology,stem,max,41,36,41,0,109,4,0,0,0,437
eclipse,e4,avg,55,47,30,43,129,51,0,22,0,3478
eclipse,e4,min,0,0,0,0,0,0,0,0,0,3478
eclipse,e4,max,459,136,126,356,451,196,0,63,0,3478
technology,woolsey,avg,0,161,0,0,218,0,0,0,0,50
technology,woolsey,min,0,0,0,0,218,0,0,0,0,50
technology,woolsey,max,0,419,0,0,218,0,0,0,0,50
tools,tcf,avg,5,10,3,466,580,21,0,589,0,1144
tools,tcf,min,0,0,0,0,0,0,0,0,0,1144
tools,tcf,max,16,41,6,1161,1271,88,0,1271,0,1144
technology,remus,avg,0,0,0,0,0,0,0,0,0,61
technology,remus,min,0,0,0,0,0,0,0,0,0,61
technology,remus,max,0,0,0,0,0,0,0,0,0,61
modeling,epsilon,avg,6,9,0,295,612,437,0,612,0,535
